sample,elapsed_s,mark,calibratorCalibrated,ikCalibrated,trackingAssigned,mappingCalibrated,simulatedInput,dataSource,leftAvailable,rightAvailable,leftFallback,rightFallback,leftValgus_deg,rightValgus_deg,leftFlex_deg,rightFlex_deg,swayRMS_mm,swayVelocity_mps,symmetry_pct,leftReach_pct,rightReach_pct,pelvis_x,pelvis_y,pelvis_z,leftKnee_x,leftKnee_y,leftKnee_z,rightKnee_x,rightKnee_y,rightKnee_z,leftAnkle_x,leftAnkle_y,leftAnkle_z,rightAnkle_x,rightAnkle_y,rightAnkle_z
61,7.084,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.134,-0.282,6.661,6.482,2.809,0.022,2.725,0.041,0.000,1.551,0.130,1.997,1.651,-0.399,1.975,1.455,-0.399,1.976,1.652,-0.863,2.001,1.459,-0.863,2.000
62,7.195,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.093,-0.321,6.651,6.469,2.513,0.010,2.777,0.052,0.000,1.552,0.130,1.996,1.651,-0.399,1.974,1.455,-0.399,1.976,1.652,-0.863,2.001,1.459,-0.863,2.000
63,7.317,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.056,-0.345,6.635,6.484,2.193,0.007,2.290,0.000,0.024,1.552,0.130,1.996,1.651,-0.399,1.974,1.456,-0.399,1.976,1.652,-0.862,2.000,1.460,-0.862,2.000
64,7.419,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.059,-0.373,6.647,6.485,2.009,0.003,2.473,0.000,0.008,1.552,0.130,1.995,1.651,-0.400,1.974,1.456,-0.399,1.975,1.652,-0.863,2.001,1.460,-0.863,2.000
65,7.541,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.074,-0.350,6.669,6.566,1.901,0.005,1.558,0.000,0.109,1.552,0.129,1.995,1.651,-0.401,1.974,1.455,-0.400,1.975,1.652,-0.864,2.001,1.459,-0.864,2.001
66,7.663,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.082,-0.331,6.684,6.560,1.920,0.002,1.868,0.000,0.096,1.551,0.128,1.995,1.651,-0.401,1.974,1.455,-0.401,1.975,1.652,-0.864,2.001,1.459,-0.864,2.001
67,7.774,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.095,-0.315,6.694,6.592,1.993,0.010,1.532,0.000,0.138,1.551,0.126,1.995,1.651,-0.403,1.974,1.455,-0.403,1.975,1.652,-0.866,2.001,1.459,-0.866,2.001
68,7.874,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.097,-0.300,6.697,6.599,2.084,0.008,1.473,0.000,0.131,1.551,0.125,1.995,1.651,-0.404,1.974,1.455,-0.404,1.975,1.652,-0.867,2.001,1.459,-0.867,2.001
69,7.974,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.115,-0.276,6.704,6.607,2.180,0.007,1.460,0.000,0.129,1.550,0.124,1.995,1.651,-0.406,1.974,1.455,-0.405,1.975,1.652,-0.869,2.001,1.459,-0.869,2.001
70,8.075,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.143,-0.246,6.727,6.630,2.238,0.002,1.465,0.000,0.136,1.550,0.123,1.995,1.650,-0.407,1.974,1.455,-0.407,1.975,1.652,-0.870,2.002,1.459,-0.870,2.001
71,8.187,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.140,-0.258,6.833,6.644,2.230,0.004,2.813,0.000,0.183,1.550,0.122,1.995,1.650,-0.407,1.974,1.455,-0.407,1.975,1.652,-0.871,2.001,1.459,-0.871,2.002
72,8.287,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.138,-0.313,7.709,7.354,2.143,0.005,4.719,0.000,0.293,1.550,0.121,1.995,1.651,-0.408,1.968,1.455,-0.408,1.971,1.652,-0.871,1.997,1.459,-0.871,1.999
73,8.388,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.155,-0.329,8.187,7.930,1.976,0.006,3.186,0.000,0.283,1.550,0.120,1.996,1.651,-0.408,1.965,1.455,-0.408,1.968,1.652,-0.871,1.995,1.459,-0.871,1.997
74,8.499,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.148,-0.317,7.664,7.373,1.723,0.007,3.867,0.000,0.253,1.550,0.121,1.995,1.651,-0.408,1.969,1.455,-0.408,1.971,1.652,-0.871,1.998,1.459,-0.871,1.999
75,8.622,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.161,-0.250,6.751,6.705,1.460,0.005,0.683,0.000,0.134,1.549,0.122,1.996,1.650,-0.407,1.975,1.454,-0.407,1.975,1.652,-0.870,2.002,1.459,-0.870,2.002
76,8.743,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.155,-0.251,6.774,6.731,1.252,0.009,0.636,0.000,0.107,1.550,0.124,1.996,1.650,-0.406,1.975,1.455,-0.405,1.975,1.652,-0.869,2.003,1.459,-0.869,2.002
77,8.844,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.103,-0.273,6.760,6.736,1.070,0.021,0.351,0.000,0.116,1.550,0.125,1.995,1.651,-0.405,1.975,1.455,-0.405,1.975,1.652,-0.868,2.003,1.459,-0.868,2.003
78,8.966,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.095,-0.273,6.801,6.825,0.914,0.024,0.351,0.000,0.175,1.551,0.126,1.995,1.651,-0.403,1.975,1.455,-0.403,1.976,1.652,-0.866,2.003,1.459,-0.866,2.004
79,9.088,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.131,-0.249,6.840,6.908,0.824,0.025,0.988,0.000,0.251,1.551,0.126,1.995,1.651,-0.403,1.975,1.455,-0.403,1.976,1.652,-0.866,2.004,1.459,-0.866,2.005
80,9.199,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.059,-0.333,6.847,6.909,0.805,0.014,0.902,0.000,0.243,1.552,0.126,1.994,1.651,-0.403,1.974,1.455,-0.403,1.975,1.652,-0.866,2.004,1.459,-0.866,2.005
81,9.300,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.020,-0.379,6.866,6.905,0.908,0.013,0.568,0.000,0.189,1.552,0.127,1.993,1.651,-0.403,1.974,1.455,-0.403,1.975,1.652,-0.866,2.004,1.459,-0.866,2.005
82,9.423,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,0.000,-0.366,6.972,6.968,1.188,0.012,0.045,0.000,0.103,1.553,0.127,1.992,1.651,-0.403,1.974,1.455,-0.402,1.974,1.652,-0.865,2.006,1.458,-0.865,2.006
83,9.545,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,0.020,-0.301,7.070,7.176,1.684,0.015,1.491,0.000,0.161,1.553,0.127,1.990,1.651,-0.402,1.973,1.455,-0.402,1.974,1.652,-0.865,2.008,1.458,-0.865,2.009
84,9.656,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,0.040,-0.216,7.678,7.552,2.335,0.018,1.660,0.218,0.000,1.553,0.128,1.987,1.651,-0.402,1.973,1.455,-0.401,1.974,1.651,-0.864,2.015,1.457,-0.864,2.014
85,9.757,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.093,-0.079,8.583,8.115,3.201,0.041,5.614,0.885,0.000,1.554,0.130,1.983,1.650,-0.400,1.974,1.455,-0.400,1.973,1.649,-0.861,2.028,1.455,-0.861,2.020
86,9.869,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.274,-0.028,9.775,9.422,4.404,0.048,3.678,0.955,0.000,1.555,0.129,1.979,1.650,-0.401,1.974,1.457,-0.401,1.973,1.645,-0.860,2.043,1.457,-0.860,2.034
87,9.991,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-0.916,-0.088,11.533,11.480,6.179,0.052,0.460,0.872,0.000,1.557,0.125,1.974,1.650,-0.405,1.975,1.461,-0.405,1.974,1.640,-0.860,2.064,1.465,-0.861,2.058
88,10.113,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-1.885,0.391,16.360,15.131,7.965,0.014,7.810,0.000,0.264,1.557,0.112,1.970,1.652,-0.418,1.956,1.467,-0.418,1.964,1.636,-0.868,2.067,1.472,-0.870,2.070
89,10.225,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-3.550,1.304,26.851,26.086,9.081,0.005,2.891,0.106,0.000,1.556,0.092,1.970,1.658,-0.433,1.903,1.471,-0.433,1.907,1.637,-0.874,2.046,1.475,-0.876,2.046
90,10.326,0,1,1,1,1,0,Avatar IK kemik fallback,1,1,1,1,-3.574,2.525,34.021,33.337,9.893,0.024,2.032,0.182,0.000,1.554,0.071,1.969,1.658,-0.447,1.872,1.476,-0.447,1.875,1.638,-0.879,2.039,1.477,-0.881,2.038
